month,import_value,duty_rate,duty_spend
2021-01-01,2090383.23,0.065,135874.91
2021-02-01,2207747.23,0.065,143503.57
2021-03-01,2262424.25,0.065,147057.58
2021-04-01,2412408.99,0.065,156806.58
2021-05-01,2508146.02,0.065,163029.49
2021-06-01,2705614.61,0.065,175864.95
2021-07-01,2908625.28,0.065,189060.64
2021-08-01,2807528.27,0.065,182489.34
2021-09-01,2776689.43,0.065,180484.81
2021-10-01,2554784.97,0.065,166061.02
2021-11-01,2429121.45,0.065,157892.89
2021-12-01,2309517.9,0.065,150118.66
2022-01-01,2113181.11,0.065,137356.77
2022-02-01,2397640.46,0.065,155846.63
2022-03-01,2495038.65,0.065,162177.51
2022-04-01,2668196.32,0.065,173432.76
2022-05-01,2599587.87,0.065,168973.21
2022-06-01,2715993.56,0.065,176539.58
2022-07-01,2872322.2,0.065,186700.94
2022-08-01,2896175.2,0.065,188251.39
2022-09-01,2884092.05,0.065,187465.98
2022-10-01,2697437.13,0.065,175333.41
2022-11-01,2607010.46,0.065,169455.68
2022-12-01,2384494.05,0.065,154992.11
2023-01-01,2445962.65,0.065,158987.57
2023-02-01,2512164.86,0.065,163290.72
2023-03-01,2538967.84,0.065,165032.91
2023-04-01,2980393.94,0.065,193725.61
2023-05-01,3037548.18,0.065,197440.63
2023-06-01,3259340.84,0.065,211857.15
2023-07-01,3093136.13,0.065,201053.85
2023-08-01,3049258.1,0.065,198201.78
2023-09-01,2990715.85,0.065,194396.53
2023-10-01,2862960.7,0.065,186092.45
2023-11-01,2784898.7,0.065,181018.42
2023-12-01,2628065.84,0.065,170824.28
2024-01-01,2522236.27,0.065,163945.36
2024-02-01,2527423.31,0.065,164282.52
2024-03-01,2712678.93,0.065,176324.13
2024-04-01,3106235.22,0.065,201905.29
2024-05-01,3052611.38,0.085,259471.97
2024-06-01,3333491.11,0.085,283346.74
2024-07-01,3422791.87,0.085,290937.31
2024-08-01,3134354.03,0.085,266420.09
2024-09-01,3221851.0,0.085,273857.34
2024-10-01,3207257.22,0.085,272616.86
2024-11-01,2646709.58,0.085,224970.31
2024-12-01,2721583.56,0.085,231334.6
2025-01-01,2708706.97,0.085,230240.09
2025-02-01,2691883.85,0.085,228810.13
2025-03-01,2991149.82,0.085,254247.73
2025-04-01,3126591.6,0.085,265760.29
2025-05-01,3142182.98,0.085,267085.55
2025-06-01,3607560.56,0.085,306642.65
2025-07-01,3654196.27,0.085,310606.68
2025-08-01,3657037.73,0.085,310848.21
2025-09-01,3594635.18,0.085,305543.99
2025-10-01,3267468.58,0.085,277734.83
2025-11-01,3055596.93,0.085,259725.74
2025-12-01,2760570.19,0.085,234648.47
